epoch,accuracy,loss,val_accuracy,val_loss
0,0.7669200301170349,0.5710058808326721,0.8494935035705566,0.3483225405216217
1,0.8523344397544861,0.34663891792297363,0.8740954995155334,0.34173667430877686
2,0.8794788122177124,0.27435725927352905,0.8798842430114746,0.3199189305305481
3,0.9058994054794312,0.23173798620700836,0.9232995510101318,0.1753024160861969
4,0.8954035639762878,0.2655086815357208,0.9189580082893372,0.2227557897567749
5,0.897936999797821,0.23717986047267914,0.9348769783973694,0.16534048318862915
6,0.905537486076355,0.2231208086013794,0.9406657218933105,0.15518441796302795
7,0.9116901755332947,0.199928879737854,0.9406657218933105,0.13484586775302887
8,0.9156713485717773,0.19873467087745667,0.9305354356765747,0.17482450604438782
9,0.9225479364395142,0.18151956796646118,0.9363241791725159,0.13724255561828613
10,0.9232718348503113,0.17465661466121674,0.9536902904510498,0.12789276242256165
11,0.9171190857887268,0.2060699462890625,0.9319826364517212,0.15329134464263916
12,0.9279768466949463,0.17965102195739746,0.9363241791725159,0.14933297038078308
13,0.9261671900749207,0.16836459934711456,0.9406657218933105,0.15502513945102692
14,0.9297864437103271,0.1707342118024826,0.9406657218933105,0.15695223212242126
15,0.9236337542533875,0.1825544387102127,0.9522431492805481,0.15105004608631134
16,0.9283387660980225,0.17736966907978058,0.9363241791725159,0.1381818652153015
17,0.9297864437103271,0.16187883913516998,0.9218524098396301,0.13776002824306488
18,0.9265291094779968,0.1622380167245865,0.9464544057846069,0.14072127640247345
19,0.9225479364395142,0.16723081469535828,0.9507959485054016,0.11912085115909576
20,0.9268910884857178,0.15490682423114777,0.9421128630638123,0.1438545286655426
21,0.9276149272918701,0.15681755542755127,0.9305354356765747,0.16420352458953857
22,0.9334056973457336,0.15274477005004883,0.9479016065597534,0.1216876283288002
23,0.9323199391365051,0.14683882892131805,0.9392185211181641,0.15685634315013885
24,0.9301483631134033,0.14522098004817963,0.9435600638389587,0.12439707666635513
25,0.9283387660980225,0.16988886892795563,0.9450072646141052,0.13946720957756042
26,0.9355772733688354,0.1413509100675583,0.9450072646141052,0.1332584023475647
27,0.9250814318656921,0.1554361879825592,0.9406657218933105,0.14674042165279388
28,0.9334056973457336,0.13728652894496918,0.9493487477302551,0.1513669639825821
29,0.9355772733688354,0.1414373368024826,0.9435600638389587,0.1453848034143448
30,0.9337676167488098,0.1471247524023056,0.9421128630638123,0.13719891011714935
31,0.9388346076011658,0.13505254685878754,0.9363241791725159,0.1326301246881485
32,0.9348534345626831,0.12701515853405,0.9406657218933105,0.1526283621788025
33,0.9363011121749878,0.13290251791477203,0.9479016065597534,0.12750813364982605
34,0.929424524307251,0.13995461165905,0.9334298372268677,0.21038319170475006
35,0.9395584464073181,0.13048499822616577,0.9406657218933105,0.14238208532333374
36,0.9363011121749878,0.12728933990001678,0.9450072646141052,0.1253264993429184
37,0.9373868703842163,0.12930463254451752,0.9464544057846069,0.13600395619869232
38,0.9370249509811401,0.13790073990821838,0.9435600638389587,0.1330261379480362
39,0.9410061240196228,0.12193414568901062,0.9392185211181641,0.1290607750415802
40,0.9402822852134705,0.1253257393836975,0.9377713203430176,0.13933664560317993
41,0.931958019733429,0.15550914406776428,0.9319826364517212,0.14766858518123627
42,0.9337676167488098,0.14276599884033203,0.9377713203430176,0.15150243043899536
43,0.9417300224304199,0.10711566358804703,0.9435600638389587,0.1458587497472763
44,0.9395584464073181,0.12650252878665924,0.9435600638389587,0.1268749237060547
45,0.9457111954689026,0.1106998473405838,0.9435600638389587,0.13692070543766022
46,0.9410061240196228,0.1256040781736374,0.9392185211181641,0.14269600808620453
47,0.9453492760658264,0.11185764521360397,0.9377713203430176,0.13319887220859528
48,0.9391965270042419,0.12519127130508423,0.9450072646141052,0.15322785079479218
49,0.9478827118873596,0.11584525555372238,0.9363241791725159,0.13765108585357666
df: dataset_reentry
Loss:0.0993090271949768
Accuracy:0.9267431116104126
Recall: 0.9026605504587156
Precision: 0.8903614457831326
F1 score: 0.8759224441833136
-------------------------------
0,0.7640246152877808,0.551590085029602,0.8610709309577942,0.3374096751213074
1,0.8650017976760864,0.31698548793792725,0.9073805809020996,0.21269555389881134
2,0.8917843103408813,0.25449156761169434,0.9059334397315979,0.27327507734298706
3,0.907709002494812,0.23310346901416779,0.9030390977859497,0.18283437192440033
4,0.9171190857887268,0.21457354724407196,0.9117221236228943,0.20852334797382355
5,0.9095186591148376,0.21226461231708527,0.9276410937309265,0.15955181419849396
6,0.927253007888794,0.17802651226520538,0.9319826364517212,0.14120341837406158
7,0.9243575930595398,0.1805671900510788,0.92619389295578,0.17951956391334534
8,0.9258052706718445,0.1943848431110382,0.9319826364517212,0.13587802648544312
9,0.9265291094779968,0.1668289750814438,0.9247467517852783,0.1802818477153778
10,0.9229098558425903,0.18826299905776978,0.9319826364517212,0.1512555629014969
11,0.9297864437103271,0.1764487475156784,0.916063666343689,0.1567118763923645
12,0.905537486076355,0.23151549696922302,0.92619389295578,0.16588951647281647
13,0.9334056973457336,0.16471388936042786,0.9276410937309265,0.14218661189079285
14,0.9312341809272766,0.17237140238285065,0.92619389295578,0.14242857694625854
15,0.9359391927719116,0.15801405906677246,0.9305354356765747,0.1357036978006363
16,0.9381107687950134,0.15261033177375793,0.9218524098396301,0.14258675277233124
17,0.9276149272918701,0.1676243096590042,0.9305354356765747,0.14006875455379486
18,0.9391965270042419,0.14017173647880554,0.9146165251731873,0.16265811026096344
19,0.929424524307251,0.17464016377925873,0.92619389295578,0.1486053615808487
20,0.9384726881980896,0.14594361186027527,0.9189580082893372,0.1543230414390564
