epoch,accuracy,loss,val_accuracy,val_loss
0,0.6355140209197998,0.7478636145591736,0.6639004349708557,0.7724242806434631
1,0.7829698920249939,0.5114585757255554,0.7427386045455933,0.6645542979240417
2,0.763239860534668,0.5130460262298584,0.771784245967865,0.5340268015861511
3,0.822429895401001,0.4049171805381775,0.8091286420822144,0.49365946650505066
4,0.8442367315292358,0.3381763696670532,0.8298755288124084,0.3293319046497345
5,0.8442367315292358,0.3608860373497009,0.8091286420822144,0.3679728150367737
6,0.8421599268913269,0.37185361981391907,0.8464730381965637,0.36170700192451477
7,0.8701972961425781,0.30494073033332825,0.8381742835044861,0.34827107667922974
8,0.8691588640213013,0.2918100655078888,0.7925311326980591,0.3336711823940277
9,0.8504672646522522,0.3187050521373749,0.7966805100440979,0.34771665930747986
10,0.8681204319000244,0.30745553970336914,0.8340249061584473,0.3306190252304077
11,0.8722741603851318,0.3048850893974304,0.8547717928886414,0.31900694966316223
12,0.871235728263855,0.32360342144966125,0.8340249061584473,0.3207869529724121
13,0.8629283308982849,0.31051716208457947,0.863070547580719,0.2968907058238983
14,0.8836967945098877,0.26717403531074524,0.8381742835044861,0.30954596400260925
15,0.889927327632904,0.25713270902633667,0.8298755288124084,0.29801183223724365
16,0.8691588640213013,0.3062204420566559,0.8672199249267578,0.3278123152256012
17,0.8847352266311646,0.29320353269577026,0.8483817553520203,0.31872670888900757
18,0.8722741603851318,0.31282979249954224,0.8566805100440979,0.3345079827308655
19,0.8847352266311646,0.2674049139022827,0.8838174343109131,0.26385268568992615
20,0.8878504633903503,0.251010000705719,0.8464730381965637,0.27296966314315796
21,0.8566977977752686,0.31207239627838135,0.8713693022727966,0.30024176836013794
22,0.8878504633903503,0.260701060295105,0.8423236608505249,0.3102471468448639
23,0.8826583623886108,0.27418529987335205,0.8547717928886414,0.2976495635509491
24,0.889927327632904,0.24011999368667603,0.8672199249267578,0.3075970721244812
25,0.881619930267334,0.27935144305229187,0.8672199249267578,0.3054275321960449
26,0.8951194286346436,0.2562747597694397,0.8672199249267578,0.2965589165687561
27,0.9075804948806763,0.23124569654464722,0.8589211702346802,0.2935079336166382
28,0.8857735991477966,0.2951529324054718,0.8713693022727966,0.26136842370033264
29,0.8971962332725525,0.24566659331321716,0.8672199249267578,0.2601388394832611
30,0.892004132270813,0.23444578051567078,0.8672199249267578,0.2582358419895172
31,0.8982346653938293,0.22871391475200653,0.8713693022727966,0.28530835151672363
32,0.8888888955116272,0.24760134518146515,0.8796680569648743,0.3042297661304474
33,0.8868120312690735,0.25221046805381775,0.8340249061584473,0.29348790764808655
34,0.8857735991477966,0.2432582825422287,0.863070547580719,0.2726111114025116
35,0.892004132270813,0.2538187503814697,0.8713693022727966,0.2818363118171692
36,0.8774662613868713,0.2736426591873169,0.8713693022727966,0.27159038186073303
37,0.8930425643920898,0.23061640560626984,0.8755186796188354,0.2605357766151428
38,0.8847352266311646,0.25139158964157104,0.8791286420822144,0.2662446701526642
39,0.8971962332725525,0.23132982850074768,0.8796680569648743,0.2541101276874542
40,0.8971962332725525,0.24054087698459625,0.8547717928886414,0.2635763990879059
41,0.8971962332725525,0.234277606010437,0.863070547580719,0.2599813938140869
42,0.8992730975151062,0.23343129456043243,0.8672199249267578,0.2883333468437195
43,0.9034267663955688,0.21841828525066376,0.8796680569648743,0.27202388644218445
44,0.8992730975151062,0.22311724722385406,0.8713693022727966,0.26411375522613525
45,0.889927327632904,0.2344961315393448,0.8547717928886414,0.24930423498153687
46,0.8878504633903503,0.2585616409778595,0.8755186796188354,0.25410865783691406
47,0.9075804948806763,0.24030721187591553,0.8838174343109131,0.25072968006134033
48,0.8930425643920898,0.23904860019683838,0.8838174343109131,0.2527586233615875
49,0.9075804948806763,0.21995095908641815,0.8755186796188354,0.2759667932987213
df: dataset_infinite_loop
Accuracy:0.8854839286804199
Recall: 0.8533398247322297
Precision: 0.8717472118959108
F1 score: 0.8730589633856396
-------------------------------
0,0.6853582262992859,0.7584547400474548,0.7178423404693604,0.61121994256973267
1,0.7902388572692871,0.4902496933937073,0.7551867365837097,0.7360379695892334
2,0.8265835642814636,0.3937855064868927,0.8091286420822144,0.4656789004802704
3,0.8234683275222778,0.3779820203781128,0.8838174343109131,0.3451799154281616
4,0.8296988606452942,0.35514262318611145,0.8340249061584473,0.4544532001018524
5,0.8670820593833923,0.32040640711784363,0.9004149436950684,0.37932759523391724
6,0.8629283308982849,0.3088148534297943,0.8008298873901367,0.4120047092437744
7,0.8660436272621155,0.31885579228401184,0.8713693022727966,0.3384077548980713
8,0.8473520278930664,0.33718499541282654,0.8713693022727966,0.3273906409740448
9,0.8660436272621155,0.2970752418041229,0.9004149436950684,0.3284861445426941
10,0.8691588640213013,0.2885715067386627,0.8547717928886414,0.3451945185661316
11,0.8618898987770081,0.3023747205734253,0.8340249061584473,0.33105945587158203
12,0.8701972961425781,0.31441378593444824,0.863070547580719,0.33424443006515503
13,0.8639667630195618,0.29006779193878174,0.8713693022727966,0.3133859932422638
14,0.8722741603851318,0.2887301445007324,0.8257261514663696,0.4216928482055664
15,0.8826583623886108,0.29308152198791504,0.8672199249267578,0.32576286792755127
16,0.8785046935081482,0.2612278461456299,0.8547717928886414,0.2770557701587677
17,0.8452751636505127,0.31719106435775757,0.8506224155426025,0.3336562216281891
18,0.8701972961425781,0.29261043667793274,0.8672199249267578,0.3338330388069153
19,0.8836967945098877,0.26454585790634155,0.8381742835044861,0.38554173707962036
20,0.8764278292655945,0.26666948199272156,0.8423236608505249,0.3375004529953003
